"Company Name","Tradestyle","D-U-N-S® Number","Address Line 1","Address Line 2","Address Line 3","City","State Or Province","Postal Code","Country/Region","Phone","Company Email","Fax","URL","Sales (USD)","Pre Tax Profit (USD)","Assets (USD)","Liabilities (USD)","Employees (Single Site)","Employees (Total)","Business Description","Ownership Type","D&B Legal Status Type","Entity Type","Is Headquarters","Ticker","Parent Company","Parent Country/Region","Global Ultimate Company","Global Ultimate Country/Region","D&B Hoovers Industry","US 8-Digit SIC Code","US 8-Digit SIC Description","US SIC 1987 Code","US SIC 1987 Description","NAICS 2022 Code","NAICS 2022 Description","UK SIC 2007 Code","UK SIC 2007 Description","ISIC Rev 4 Code","ISIC Rev 4 Description","NACE Rev 2 Code","NACE Rev 2 Description","ANZSIC 2006 Code","ANZSIC 2006 Description","TPS Flag","Key ID","Source","Direct Marketing Status"
"Redstone American Grill, Inc.","Redstone Grill, Redstone American Grill","038892795","7636 Executive Dr","","","Eden Prairie","Minnesota","55344-3677","United States","1-952-404-3333","","","http://www.redstonegrill.com","3.2592716000000004E7","","","","12","750","Redstone American Grill, Inc. is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.","Private","Corporation","Parent","true","","Redstone American Grill, Inc.","United States","Redstone American Grill, Inc.","United States","Restaurants and Bars","58120310","Grills (eating places)","5812","Eating Places","722513","Limited-Service Restaurants","5610","Restaurants and mobile food service activities","5610","Restaurants and mobile food service activities","5610","Restaurants and mobile food service activities","451","Cafes, Restaurants and Takeaway Food Services","false","100568809","D&B","Has Not Opted Out of Direct Marketing"
"MSG Nutritional Ingredients Holding Corporation","Milk Specialties Global","080812815","7500 Flying Cloud Dr Ste 500","","","Eden Prairie","Minnesota","55344-3703","United States","1-952-942-7310","","","http://www.milkspecialties.com","7.0E8","","","","750","750","Msg Nutritional Ingredients Holding Corporation is primarily engaged in: (1) manufacturing bulk organic and inorganic medicinal chemicals and their derivatives and (2) processing (grading, grinding, and milling) bulk botanical drugs and herbs. This also includes manufacturing agar-agar and similar products of natural origin, endocrine products, manufacturing or isolating basic vitamins, and isolating active medicinal principals such as alkaloids from botanical drugs and herbs.","Private","Corporation","Independent","false","","","","","","Pharmaceutical Manufacturing","28330400","Animal based products","2833","Medicinal Chemicals and Botanical Products","325411","Medicinal and Botanical Manufacturing","2110","Manufacture of basic pharmaceutical products","2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products","2110","Manufacture of basic pharmaceutical products","1841","Human Pharmaceutical and Medicinal Product Manufacturing","false","280263751","D&B","Has Not Opted Out of Direct Marketing"
"Fagen, Inc.","","188642698","501 Highway 212 W","","","Granite Falls","Minnesota","56241-1308","United States","1-320-564-3324","","","http://www.fageninc.com","7.1431847E7","","","","100","750","Fagen specializes in building renewable energy facilities including wind farms, ethanol plants, and biomass energy plants. The contractor also builds other industrial and commercial projects such as wastewater-treatment plants, manufacturing facilities, and housing projects. Fagen offers engineering services, including design/build, project management, and general contracting. Affiliate Fagen Engineering performs civil, structural, electrical, and mechanical design services. Fagen partners with Par Piping & Fabrication to supply fabricated metal structures. Founded in 1988, the company is owned by the Fagen family.","Private","Corporation","Parent","true","","Fagen, Inc.","United States","Fagen, Inc.","United States","Specialty Construction Trade Contractors","17310000","Electrical work","1731","Electrical Work","238210","Electrical Contractors and Other Wiring Installation Contractors","4321","Electrical installation","4321","Electrical installation","4321","Electrical installation","3232","Electrical Services","false","44535407","D&B","Has Not Opted Out of Direct Marketing"
"Macalester College","","077626778","1600 Grand Ave","","","Saint Paul","Minnesota","55105-1899","United States","1-651-696-6000","","","http://www.macalester.edu","1.39158E8","","1.183343E9","","750","750","Macalester College provides a private, liberal arts education experience in St. Paul, Minnesota. The four-year school serves about 2,000 students. It offers more than 800 courses in 60 areas of study, giving it about 40 major programs in fields including natural science, social science, fine arts, and humanities. Macalester has a student-to-faculty ratio of 10:1 and a staff of about 170 full-time faculty members. It was founded in 1874 by the Rev. Edward Duffield as a Presbyterian-related but non-sectarian college, and was named after Charles Macalester, a prominent Philadelphia businessman and philanthropist.","Nonprofit","Corporation","Independent","false","","","","","","Colleges and Universities","82210101","College, except junior","8221","Colleges, Universities, and Professional Schools","611310","Colleges, Universities, and Professional Schools","854","Higher education","853","Higher education","8542","Tertiary education","8102","Higher Education","false","44894799","D&B","Has Not Opted Out of Direct Marketing"
"One10 L.L.C.","","011744778","11055 Wayzata Blvd Ste 100","","","Minnetonka","Minnesota","55305-1573","United States","1-763-445-3000","","","http://www.one10marketing.com","1.6367519000000002E7","","","","44","750","One10 L.L.C. is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.","Private","Corporation","Parent","true","","One10 L.L.C.","United States","One10 L.L.C.","United States","Administrative Services","87410000","Management services","8741","Management Services","561110","Office Administrative Services","7022","Business and other management consultancy activities","7020","Management consultancy activities","8211","Combined office administrative service activities","696","Management and Related Consulting Services","false","204838945","D&B","Opts Out of Direct Marketing"
"Pohlad Companies, LLC","Starquest Securities","062824198","250 Nicollet Mall Ste 600","","","Minneapolis","Minnesota","55401-7547","United States","1-612-661-3880","","","http://www.pohladcompanies.com","5.836308E8","","","","579","746","Pohlad Companies, Llc is primarily engaged in holding or owning securities of companies other than banks, for the sole purpose of exercising some degree of control over the activities of the companies whose securities they hold.","Private","Corporation","Parent","true","","Pohlad Companies, LLC","United States","Pohlad Companies, LLC","United States","Holding Companies","67199901","Investment holding companies, except banks","6719","Offices of Holding Companies, Not Elsewhere Classified","551112","Offices of Other Holding Companies","6420","Activities of holding companies","642","Activities of holding companies","6420","Activities of holding companies","6240","Financial Asset Investing","false","44450277","D&B","Has Not Opted Out of Direct Marketing"
"Nortech Systems Incorporated","","010429728","7550 Meridian Cir N Ste 150","","","Maple Grove","Minnesota","55369-4932","United States","1-952-345-2244","","","http://www.nortechsys.com","1.2813300000000001E8","5466000.0","7.2434998E7","","44","744","Nortech is an Electronic Manufacturing Services (EMS) company that offers a full range of value-added engineering, technical and manufacturing services and support including project management, designing, testing, prototyping, manufacturing, supply chain management and post-market services to a variety of industries, such as aerospace, automotive, medical, and industrial markets. Its manufacturing and engineering services include wire and cable assemblies, printed circuit board assemblies, complete medical devices, and complex higher-level electromechanical assemblies. Most revenue comes from products following customer design specifications. One customer accounts for over a quarter of revenue.","Public","Corporation","Parent","true","NSYS","Nortech Systems Incorporated","United States","Nortech Systems Incorporated","United States","Semiconductor and Other Electronic Component Manufacturing","36740000","Semiconductors and related devices","3674","Semiconductors and Related Devices","334413","Semiconductor and Related Device Manufacturing","2611","Manufacture of electronic components","2610","Manufacture of electronic components and boards","2611","Manufacture of electronic components","2429","Other Electronic Equipment Manufacturing","false","73091","D&B","Has Not Opted Out of Direct Marketing"
"Milk Specialties Company","Actus Nutrition","115715930","7500 Flying Cloud Dr Ste 500","","","Eden Prairie","Minnesota","55344-3703","United States","1-952-942-7310","","","http://www.milkspecialties.com","3.269277E8","","","","102","740","Milk Specialties Company (or MSC for short) is not some miscellaneous company if you're are an animal. It manufactures animal feed and veterinary pharmaceuticals. Operating through three divisions, the company develops and markets milk replacers for domestic and exotic livestock, nutritional supplements and drugs for cows, pigs, horses, and chickens, and high-performance dog food. Operating four manufacturing plants, its branded and private-label products are distributed internationally. The State of Wisconsin Investment Board owns a majority interest in Milk Specialties.","Private","Corporation","Parent","true","","Milk Specialties Company","United States","Milk Specialties Company","United States","Food Manufacturing","20260200","Fermented and cultured milk products","2026","Fluid Milk","311511","Fluid Milk Manufacturing","10511","Liquid milk and cream production","1050","Manufacture of dairy products","1051","Operation of dairies and cheese making","1131","Milk and Cream Processing","false","273072","D&B","Has Not Opted Out of Direct Marketing"
"Innovance, Inc.","","058327834","505 W Front St","","","Albert Lea","Minnesota","56007-2751","United States","1-507-377-8910","","","http://www.innovance.com","1.0492249E8","","6.3515404E7","","330","736","Innovance, Inc. is primarily engaged in manufacturing machinery and equipment and parts, such as amusement park equipment and flexible metal hose and tubing. This also includes producing or repairing machinery and equipment parts, not elsewhere classified, on a job or order basis for others.","Private","Corporation","Parent","true","","Innovance, Inc.","United States","Innovance, Inc.","United States","Metal Products Manufacturing","35990303","Machine shop, jobbing and repair","3599","Industrial and Commercial Machinery and Equipment, Not Elsewhere Classified","332710","Machine Shops","2829","Manufacture of other general-purpose machinery n.e.c.","2819","Manufacture of other general-purpose machinery","2829","Manufacture of other general-purpose machinery n.e.c.","2499","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","false","107456397","D&B","Has Not Opted Out of Direct Marketing"
"SPS Companies, Inc.","Interstate Mfg & Supply (Div), Pipe Fabricators (Div), S P S, HOWELLS SUPPLY","006221063","6363 Highway 7","","","Minneapolis","Minnesota","55416-2346","United States","1-952-929-1377","","","http://www.spscompanies.com","9.1721947E7","","","","110","735","Sps Companies, Inc. is primarily engaged in the wholesale distribution of hydronic plumbing and heating equipment and supplies.","Private","Corporation","Parent","true","","SPS Companies, Inc.","United States","SPS Companies, Inc.","United States","Construction and Hardware Materials Wholesale","50740300","Plumbing fittings and supplies","5074","Plumbing and Heating Equipment and Supplies (Hydronics)","423720","Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","4674","Wholesale of hardware, plumbing and heating equipment and supplies","4663","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","4674","Wholesale of hardware, plumbing and heating equipment and supplies","3494","Other Electrical and Electronic Goods Wholesaling","false","44408163","D&B","Has Not Opted Out of Direct Marketing"
"Oxbow Industries, LLC","","021954582","4450 Excelsior Blvd Ste 440","","","Minneapolis","Minnesota","55416-5302","United States","1-612-852-4921","","","http://www.oxbowindustries.com","3.4226901E8","","","","20","731","Oxbow Industries, Llc is primarily engaged in furnishing investment information and advice to companies and individuals concerning securities and commodities on a contract or fee basis.","Private","Corporation","Parent","true","","Oxbow Industries, LLC","United States","Oxbow Industries, LLC","United States","Investment Services","62820000","Investment advice","6282","Investment Advice","523940","Portfolio Management and Investment Advice","6619","Other activities auxiliary to financial services, except insurance and pension funding","6619","Other activities auxiliary to financial service activities","6619","Other activities auxiliary to financial services, except insurance and pension funding","6419","Other Auxiliary Finance and Investment Services","false","138389292","D&B","Has Not Opted Out of Direct Marketing"
"Independent School District #492","Austin Public Schools","084501246","401 3Rd Ave Nw","","","Austin","Minnesota","55912-2378","United States","1-507-460-1900","","","http://www.austin.k12.mn.us","1.0429314E8","","1.1852528E8","","65","725","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","Independent School District #492","United States","Independent School District #492","United States","Primary and Secondary Education","82110303","Public elementary school","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","8520","Primary education","802","School Education","false","139060572","D&B","Has Not Opted Out of Direct Marketing"
"Bethel University","","071777692","3900 Bethel Dr","","","Saint Paul","Minnesota","55112-6902","United States","1-651-638-6400","","","http://www.bethel.edu","8.411985E7","","2.4631168E8","","638","720","Colleges, universities, and professional schools furnishing academic courses and granting academic degrees. The requirement for admission is at least a high school diploma or equivalent general academic training.","Nonprofit","Corporation","Parent","true","","Bethel University","United States","Bethel University","United States","Colleges and Universities","82210101","College, except junior","8221","Colleges, Universities, and Professional Schools","611310","Colleges, Universities, and Professional Schools","854","Higher education","853","Higher education","8542","Tertiary education","8102","Higher Education","false","44910457","D&B","Has Not Opted Out of Direct Marketing"
"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, ANI, Apexicon, Cortenema, Other Styles - See Operations","868359071","210 W Main St","","","Baudette","Minnesota","56623-2467","United States","1-218-634-3500","","","http://www.anipharmaceuticals.com","6.1437598E8","'-2.2212E7","1.283697E9","","69","720","ANI Pharmaceuticals is a diversified bio-pharmaceutical company serving patients in need by developing, manufacturing, and marketing high quality branded and generic prescription pharmaceuticals. Some of its branded products are Apexicon, Cortenema, Purified Cortrophin Gel, Cortrophin-Zinc, Inderal LA, Inderal XL, InnoPran XL, Lithobid, Reglan, Vancocin, and Veregen. The company's currently markets include controlled substances, oncology products, hormones and steroids, injectables, and complex formulations, including extended release and combination products. The vast majority of its revenue comes from the US.","Public","Corporation","Parent","true","ANIP","ANI Pharmaceuticals, Inc.","United States","ANI Pharmaceuticals, Inc.","United States","Pharmaceutical Manufacturing","28340000","Pharmaceutical preparations","2834","Pharmaceutical Preparations","325412","Pharmaceutical Preparation Manufacturing","2120","Manufacture of pharmaceutical preparations","2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products","2120","Manufacture of pharmaceutical preparations","1841","Human Pharmaceutical and Medicinal Product Manufacturing","false","44606479","D&B","Has Not Opted Out of Direct Marketing"
"Short-Elliott-Hendrickson, Incorporated","S E H","071776405","3535 Vadnais Center Dr","","","Saint Paul","Minnesota","55110-5108","United States","1-651-490-2000","","","http://www.sehinc.com","1.4414175E8","","","","208","718","Short-Elliott-Hendrickson, Incorporated is primarily engaged in providing professional engineering services. Establishments primarily providing and supervising their own engineering staff on temporary contract to other firms are included in this industry.","Private","Corporation","Parent","true","","Short-Elliott-Hendrickson, Incorporated","United States","Short-Elliott-Hendrickson, Incorporated","United States","Architecture and Engineering","87110402","Civil engineering","8711","Engineering Services","541330","Engineering Services","71121","Engineering design activities for industrial process and production","7110","Architectural and engineering activities and related technical consultancy","7112","Engineering activities and related technical consultancy","6923","Engineering Design and Engineering Consulting Services","false","42917697","D&B","Has Not Opted Out of Direct Marketing"
"Independent School District 0656","Faribault Public Schools","071346191","710 17Th St Sw","","","Faribault","Minnesota","55021-5518","United States","1-507-333-6059","","","http://www.faribault.k12.mn.us","7.4953796E7","","1.0853192E8","","32","710","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","Independent School District 0656","United States","Independent School District 0656","United States","Primary and Secondary Education","82110300","Public elementary and secondary schools","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","85","Education","802","School Education","false","139085827","D&B","Has Not Opted Out of Direct Marketing"
"ALEXANDRIA SCHOOL DISTRICT 206","Alexandria Public Schools","070748082","1410 Mckay Ave S Ste 201","","","Alexandria","Minnesota","56308-2493","United States","1-320-762-2141","","","http://www.alexschools.org","7.78395E7","","1.6026065E8","","25","704","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","ALEXANDRIA SCHOOL DISTRICT 206","United States","ALEXANDRIA SCHOOL DISTRICT 206","United States","Primary and Secondary Education","82110300","Public elementary and secondary schools","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","85","Education","802","School Education","false","80579689","D&B","Has Not Opted Out of Direct Marketing"
"City of Rochester","","077629467","201 4Th St Se Ste 204","","","Rochester","Minnesota","55904-3708","United States","1-507-328-2860","","","http://www.rochestermn.gov","2.7177295E8","","2.451488E9","","379","702","Offices of chief executives and their advisory and interdepartmental committees and commissions.","Public Sector","Corporation","Parent","true","","City of Rochester","United States","City of Rochester","United States","Executive and Legislature","91110204","Mayors' office","9111","Executive Offices","921110","Executive Offices","8411","General public administration activities","8411","General public administration activities","8411","General public administration activities","75","Public Administration","false","101861258","D&B","Has Not Opted Out of Direct Marketing"
"GRIFFITHS HOLDING CORPORATION","","078425496","2717 Niagara Ln N","","","Minneapolis","Minnesota","55447-4844","United States","1-763-557-8935","","","http://www.griffithscorp.com","1.4792476E8","","","","15","700","Griffiths Holding Corporation is a contract tool and die shop and is primarily engaged in manufacturing, on a job or order basis, special tools and fixtures for use with machine tools, hammers, die-casting machines, and presses.","Private","Corporation","Parent","true","","GRIFFITHS HOLDING CORPORATION","United States","GRIFFITHS HOLDING CORPORATION","United States","Machinery and Equipment Manufacturing","35440100","Special dies and tools","3544","Special Dies and Tools, Die Sets, Jigs and Fixtures, and Industrial Molds","333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","2573","Manufacture of tools","2593","Manufacture of cutlery, hand tools and general hardware","2841","Manufacture of metal forming machinery","2463","Machine Tool and Parts Manufacturing","false","195104587","D&B","Has Not Opted Out of Direct Marketing"
"Room & Board, Inc.","","080253511","4600 Olson Memorial Hwy","","","Minneapolis","Minnesota","55422-4815","United States","1-763-588-7525","","","http://www.roomandboard.com","9.6967445E7","","","","150","700","Room & Board is a modern furniture retailer that also offers free design services and full-service delivery. Founded in 1980, Room & Board operates over 20 stores in California, Illinois, Colorado, Georgia, and the District of Columbia among other. The company's furniture collections feature contemporary sofas, chairs, vanities, and tables, as well as office, bedroom, and outdoor furniture. Its offers a large selection of products with components that can be customized. In addition to its stores, digital catalog and website, the company serves clients across offices, homes, and commercial markets.","Private","Corporation","Parent","true","","Room & Board, Inc.","United States","Room & Board, Inc.","United States","Home Furnishings Retail","57120000","Furniture stores","5712","Furniture Stores","449110","Furniture Retailers","47599","Retail sale of furniture, lighting equipment and other household articles (other than musical instruments) n.e.c., in specialised stores","4759","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","4759","Retail sale of furniture, lighting equipment and other household articles in specialised stores","4211","Furniture Retailing","false","359510","D&B","Has Not Opted Out of Direct Marketing"
"Rockler Companies, Inc.","Rockler Woodworking & Hardware","066515156","4365 Willow Dr","","","Hamel","Minnesota","55340-4522","United States","1-763-478-8201","","","http://www.rockler.com","1.054956E8","","","","200","700","Rockler Companies is an industry-leading woodworking and hardware source with a nationwide chain of stores and international reach through its catalogs and website. The stores sell hardware (hinges, drawer slides), hand and power tools, finishes, wood and supplies, and shop equipment. In addition, Rockler operates a catalog business that features over 130 pages of the company's best products mailed directly to the customer's door. The history of Rockler Woodworking and Hardware goes back to 1954, when Norton Rockler started the Minnesota Woodworkers Supply Company in north Minneapolis.","Private","Corporation","Parent","true","","Rockler Companies, Inc.","United States","Rockler Companies, Inc.","United States","Home and Garden Retail","52510103","Tools, hand","5251","Hardware Stores","444140","Hardware Retailers","4752","Retail sale of hardware, paints and glass in specialised stores","4752","Retail sale of hardware, paints and glass in specialized stores","4752","Retail sale of hardware, paints and glass in specialised stores","4231","Hardware and Building Supplies Retailing","false","44452528","D&B","Has Not Opted Out of Direct Marketing"
"Winona Area Public Schools","","060466554","903 Gilmore Ave","","","Winona","Minnesota","55987-2580","United States","1-507-494-0861","","","http://www.winonaschools.org","4.9736912E7","","7.6584656E7","","25","700","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","Winona Area Public Schools","United States","Winona Area Public Schools","United States","Primary and Secondary Education","82110303","Public elementary school","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","8520","Primary education","802","School Education","false","100073883","D&B","Has Not Opted Out of Direct Marketing"
"Gustavus Adolphus College","","006221808","800 W College Ave","","","Saint Peter","Minnesota","56082-1498","United States","1-507-933-7508","","","http://www.gustavus.edu","8.9932106E7","","5.5749493E8","","595","700","You don't have to enter the Pearly Gates to get into this St. Peter, Minnesota, university. However, Gustavus Adolphus College is deeply rooted in its Evangelical LutheranChurch heritage. The private, liberal arts, coeducational schooloffers some 70 majors in about two dozenacademic departments, including education, fine arts, humanities, and social sciences. It has a student population of about 2,500 and a student/faculty ratio of 12-to-1. Gustavus Adolphus College was founded in 1862 by Swedish Lutheran immigrant and pastor Eric Norelius. It is named after 17th-century Swedish king Gustav II Adolf.","Nonprofit","Corporation","Parent","true","","Gustavus Adolphus College","United States","Gustavus Adolphus College","United States","Colleges and Universities","82210101","College, except junior","8221","Colleges, Universities, and Professional Schools","611310","Colleges, Universities, and Professional Schools","854","Higher education","853","Higher education","8542","Tertiary education","8102","Higher Education","false","42866084","D&B","Has Not Opted Out of Direct Marketing"
"SFP Holding, Inc.","Summit Companies","029313523","575 Minnehaha Ave W","","","Saint Paul","Minnesota","55103-1573","United States","1-651-251-1880","","","","7.3004071E8","","","","","700","Sfp Holding, Inc. is primarily engaged in holding or owning securities of companies other than banks, for the sole purpose of exercising some degree of control over the activities of the companies whose securities they hold.","Private","Corporation","Parent","true","","SFP Holding, Inc.","United States","SFP Holding, Inc.","United States","Holding Companies","67199901","Investment holding companies, except banks","6719","Offices of Holding Companies, Not Elsewhere Classified","551112","Offices of Other Holding Companies","6420","Activities of holding companies","642","Activities of holding companies","6420","Activities of holding companies","6240","Financial Asset Investing","false","242304785","D&B","Has Not Opted Out of Direct Marketing"
"Willmar School District 347","Independent School District 347, Willmar Public Schools","184201531","611 5Th St Sw","","","Willmar","Minnesota","56201-3297","United States","1-320-231-8500","","","http://www.willmar.k12.mn.us","8.3686111E7","","1.2115527E8","","60","700","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","Willmar School District 347","United States","Willmar School District 347","United States","Primary and Secondary Education","82110300","Public elementary and secondary schools","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","85","Education","802","School Education","false","84915305","D&B","Has Not Opted Out of Direct Marketing"
"County of Carver","Carver County Environmental Services","048907984","600 E 4Th St","","","Chaska","Minnesota","55318-2102","United States","1-952-361-1510","","","http://www.carvercountymn.gov","1.6222298E8","","6.3576398E8","","250","700","Offices of chief executives and their advisory and interdepartmental committees and commissions.","Public Sector","Corporation","Parent","true","","County of Carver","United States","County of Carver","United States","Executive and Legislature","91110202","County supervisors' and executives' office","9111","Executive Offices","921110","Executive Offices","8411","General public administration activities","8411","General public administration activities","8411","General public administration activities","75","Public Administration","false","85432164","D&B","Has Not Opted Out of Direct Marketing"
"Mankato Clinic, Ltd.","","060473790","1230 E Main St","","","Mankato","Minnesota","56001-8001","United States","1-507-389-8680","","","http://www.mankatoclinic.com","4.5363132E7","","","","425","700","Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.","Private","Corporation","Parent","true","","Mankato Clinic, Ltd.","United States","Mankato Clinic, Ltd.","United States","Physicians and Health Practitioners","80110202","Clinic, operated by physicians","8011","Offices and Clinics of Doctors of Medicine","621111","Offices of Physicians (except Mental Health Specialists)","8621","General medical practice activities","8620","Medical and dental practice activities","8621","General medical practice activities","8511","General Practice Medical Services","false","89707759","D&B","Has Not Opted Out of Direct Marketing"
"Knute Nelson","","078692845","2209 Jefferson St Ste 201","","","Alexandria","Minnesota","56308-2848","United States","1-320-763-6653","","","http://www.knutenelson.org","6.3453251E7","","7.7703934E7","","330","700","Knute Nelson is primarily engaged in providing inpatient nursing and rehabilitative services to patients who require continuous health care, but not hospital services. Care must be ordered by and under the direction of a physician. The staff must include a licensed nurse on duty continuously with a minimum of one full-time registered nurse on duty during each day shift. Included are establishments certified to deliver skilled nursing care under the Medicare and Medicaid programs.","Nonprofit","Corporation","Parent","true","","Knute Nelson","United States","Knute Nelson","United States","Nursing and Residential Care","80519901","Convalescent home with continuous nursing care","8051","Skilled Nursing Care Facilities","623311","Continuing Care Retirement Communities","86102","Medical nursing home activities","8690","Other human health activities","8710","Residential nursing care activities","860","Residential Care Services","false","44584422","D&B","Has Not Opted Out of Direct Marketing"
"Woodwinds Health Campus","Health East Woodwinds","105447879","1925 Woodwinds Dr","","","Saint Paul","Minnesota","55125-4445","United States","1-651-232-0100","","","","1.8096759E8","","'-3.3978918E8","","700","700","Woodwinds Health Campus is primarily engaged in providing general medical and surgical services and other hospital services.","Private","Corporation","Independent","false","","","","","","Hospitals","80620000","General medical and surgical hospitals","8062","General Medical and Surgical Hospitals","622110","General Medical and Surgical Hospitals","86101","Hospital activities","8610","Hospital activities","8610","Hospital activities","8401","Hospitals (Except Psychiatric Hospitals)","false","44750779","D&B","Has Not Opted Out of Direct Marketing"
"Lifespark Group, LLC","Lifespark","015521257","5320 W 23Rd St Ste 130","","","St Louis Park","Minnesota","55416-1670","United States","1-952-345-8770","","","http://www.lifespark.com","6.589492799999999E7","","","","54","697","Lifespark Group, Llc is primarily engaged in providing skilled nursing or medical care in the home, under supervision of a physician.","Private","Corporation","Parent","true","","Lifespark Group, LLC","United States","Lifespark Group, LLC","United States","Home Health Care Services","80820000","Home health care services","8082","Home Health Care Services","621610","Home Health Care Services","8690","Other human health activities","8690","Other human health activities","8690","Other human health activities","860","Residential Care Services","false","126643847","D&B","Has Not Opted Out of Direct Marketing"
"Parasole Restaurant Holdings, Inc.","","147587224","5032 France Ave S","","","Minneapolis","Minnesota","55410-2033","United States","1-612-822-0016","","","http://www.parasole.com","2.9198675E7","","","","12","692","Parasole Restaurant Holdings, Inc. is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.","Private","Corporation","Parent","true","","Parasole Restaurant Holdings, Inc.","United States","Parasole Restaurant Holdings, Inc.","United States","Restaurants and Bars","58120500","Family restaurants","5812","Eating Places","722511","Full-Service Restaurants","5610","Restaurants and mobile food service activities","5610","Restaurants and mobile food service activities","5610","Restaurants and mobile food service activities","451","Cafes, Restaurants and Takeaway Food Services","false","355025","D&B","Has Not Opted Out of Direct Marketing"
"Eastern Carver County Schools","Independent School Dist 112","050160655","11 Peavey Rd","","","Chaska","Minnesota","55318-2321","United States","1-952-556-6100","","","http://www.district112.org","1.9136423E8","","4.3567056E8","","39","692","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Private","Corporation","Parent","true","","Eastern Carver County Schools","United States","Eastern Carver County Schools","United States","Primary and Secondary Education","82110000","Elementary and secondary schools","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","85","Education","802","School Education","false","140110979","D&B","Has Not Opted Out of Direct Marketing"
"Lake Superior School District #381","Two Harbors High School","174405555","1640 Highway 2","","","Two Harbors","Minnesota","55616-4017","United States","1-218-834-8216","","","http://www.isd381.k12.mn.us","2.8256186E7","","9.4081039E7","","400","690","Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses.","Public Sector","Corporation","Parent","true","","Lake Superior School District #381","United States","Lake Superior School District #381","United States","Primary and Secondary Education","82110305","Public senior high school","8211","Elementary and Secondary Schools","611110","Elementary and Secondary Schools","8520","Primary education","8521","General secondary education","8531","General secondary education","802","School Education","false","85560038","D&B","Has Not Opted Out of Direct Marketing"
"County of Wright","Wright County Human Services, Wright County Sherriff","080234404","3650 Braddock Ave Ne Ste 1400","","","Buffalo","Minnesota","55313-3673","United States","1-763-682-3900","","","http://co.wright.mn.us","1.9492522E8","","7.526424E8","","450","690","Offices of chief executives and their advisory and interdepartmental committees and commissions.","Public Sector","Corporation","Parent","true","","County of Wright","United States","County of Wright","United States","Executive and Legislature","91110202","County supervisors' and executives' office","9111","Executive Offices","921110","Executive Offices","8411","General public administration activities","8411","General public administration activities","8411","General public administration activities","75","Public Administration","false","85591276","D&B","Has Not Opted Out of Direct Marketing"
